sma_short,sma_long,rsi_overbought,rsi_oversold,return,sharpe
20,50,80,30,0.1646721690283015,0.38184909540738415
10,50,75,30,0.09074891308450783,0.33735329883372017
20,50,75,30,0.1477436978799962,0.3271335842769248
10,50,70,30,0.09862910459152396,0.31859932266036795
10,50,80,30,0.08020871651958461,0.3045422533958424
20,100,80,25,0.12899186718646805,0.3028224497594957
30,100,80,25,0.1662127919485612,0.2936462548342006
10,100,75,30,0.12768098278976825,0.2889013068564683
30,100,75,25,0.1629200278156817,0.27768000486553124
20,100,75,25,0.1251628276689558,0.2772850965725174
10,100,80,30,0.1060185194100065,0.25267182831321866
20,50,70,30,0.11288267033626265,0.23575050293059302
10,100,70,30,0.11117322422481846,0.23199914845061698
30,100,70,25,0.14173164257547288,0.22642395705856108
20,100,80,30,0.12952729490470638,0.21870386724814317
20,100,75,30,0.1256964394539255,0.2059522259278072
20,100,70,25,0.08344898825669644,0.16954795437136969
20,100,70,30,0.08396281713046472,0.13199203862763792
10,50,75,20,0.015227939020162173,0.12769413767169027
30,50,80,30,0.059341588558443625,0.12469466498117705
10,50,70,20,0.02256252398906078,0.11946969211030524
30,100,80,30,0.06130996539142197,0.08045970101627435
30,100,75,30,0.058313390999479964,0.07518893044239142
10,50,80,20,0.005417521693947158,0.0495580680812986
30,100,70,30,0.03903093709292227,0.04880736846943498
10,100,75,25,0.016167402781434914,0.04552231616728158
30,50,75,30,0.022174803184976888,0.0449562340092252
20,50,80,25,0.013886537177701497,0.043211498621672534
20,50,80,20,0.005641708168601767,0.022674927122436826
30,50,70,30,0.0027066286945633955,0.005168954350979744
10,100,70,25,0.0012920555842257375,0.0032527826138019633
20,50,75,25,-0.0008502698386347873,-0.0024565569906129575
10,100,80,25,-0.003352913235603272,-0.010119321054226449
20,50,75,20,-0.008975260532958274,-0.03195510579289409
10,50,70,25,-0.00929113656459779,-0.0358788856645024
20,100,80,20,-0.012350879450012342,-0.048404883018317635
30,50,80,20,-0.013665466918976521,-0.05238732856631686
20,100,75,20,-0.01570054707998947,-0.05387806099564412
30,50,80,25,-0.028785698237263735,-0.07518192167093968
10,50,75,25,-0.0163972432014432,-0.07641173558963749
20,50,70,25,-0.031197974058493894,-0.08231645856458993
30,100,75,20,-0.028669259584339635,-0.09348775470393414
30,100,80,20,-0.025918973282012092,-0.09554048171844395
20,50,70,20,-0.039076180104894,-0.1213174240653212
10,50,80,25,-0.025902057988871685,-0.12413927622409691
30,100,70,20,-0.046366890918664305,-0.1251047853346187
10,100,75,20,-0.03409466915425041,-0.1359452249897088
20,100,70,20,-0.05219207373106405,-0.1493455846084491
30,50,75,25,-0.06286055557801795,-0.15511288687924377
10,100,70,20,-0.048234246074979614,-0.15747006854244602
30,50,75,20,-0.04827081451733373,-0.16201901032496382
30,50,70,25,-0.0807091605025465,-0.18336868964405537
30,50,70,20,-0.06639729326917099,-0.19152994738306206
10,100,80,20,-0.05264946361925871,-0.23918186385434198
