sma_short;sma_long;rsi_overbought;rsi_oversold;return;sharpe
20;50;80;30;0.1647;0.3818
10;50;75;30;0.0907;0.3374
20;50;75;30;0.1477;0.3271
10;50;70;30;0.0986;0.3186
10;50;80;30;0.0802;0.3045
20;100;80;25;0.129;0.3028
30;100;80;25;0.1662;0.2936
10;100;75;30;0.1277;0.2889
30;100;75;25;0.1629;0.2777
20;100;75;25;0.1252;0.2773
10;100;80;30;0.106;0.2527
20;50;70;30;0.1129;0.2358
10;100;70;30;0.1112;0.232
30;100;70;25;0.1417;0.2264
20;100;80;30;0.1295;0.2187
20;100;75;30;0.1257;0.206
20;100;70;25;0.0834;0.1695
20;100;70;30;0.084;0.132
10;50;75;20;0.0152;0.1277
30;50;80;30;0.0593;0.1247
10;50;70;20;0.0226;0.1195
30;100;80;30;0.0613;0.0805
30;100;75;30;0.0583;0.0752
10;50;80;20;0.0054;0.0496
30;100;70;30;0.039;0.0488
10;100;75;25;0.0162;0.0455
30;50;75;30;0.0222;0.045
20;50;80;25;0.0139;0.0432
20;50;80;20;0.0056;0.0227
30;50;70;30;0.0027;0.0052
10;100;70;25;0.0013;0.0033
20;50;75;25;-0.0009;-0.0025
10;100;80;25;-0.0034;-0.0101
20;50;75;20;-0.009;-0.032
10;50;70;25;-0.0093;-0.0359
20;100;80;20;-0.0124;-0.0484
30;50;80;20;-0.0137;-0.0524
20;100;75;20;-0.0157;-0.0539
30;50;80;25;-0.0288;-0.0752
10;50;75;25;-0.0164;-0.0764
20;50;70;25;-0.0312;-0.0823
30;100;75;20;-0.0287;-0.0935
30;100;80;20;-0.0259;-0.0955
20;50;70;20;-0.0391;-0.1213
10;50;80;25;-0.0259;-0.1241
30;100;70;20;-0.0464;-0.1251
10;100;75;20;-0.0341;-0.1359
20;100;70;20;-0.0522;-0.1493
30;50;75;25;-0.0629;-0.1551
10;100;70;20;-0.0482;-0.1575
30;50;75;20;-0.0483;-0.162
30;50;70;25;-0.0807;-0.1834
30;50;70;20;-0.0664;-0.1915
10;100;80;20;-0.0526;-0.2392
